Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,1/2/2021 5:30,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895,3275341,,1.332068342,84000001,USA,66800.2737,,1/1/2021,,
Alaska,US,1/2/2021 5:30,61.3707,-152.4044,47019,206,7165,39648,2,6427.355802,1275750,,0.43812076,84000002,USA,174391.1858,,1/1/2021,,
American Samoa,US,1/2/2021 5:30,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,,1/1/2021,,
Arizona,US,1/2/2021 5:30,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274,5155330,,1.700086937,84000004,USA,39551.86058,,1/1/2021,,
Arkansas,US,1/2/2021 5:30,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718,2051488,,1.617402219,84000005,USA,67979.49767,,1/1/2021,,
California,US,1/2/2021 5:30,36.1162,-119.6816,2434930,26258,,,6,6164.469663,33058311,,1.074343962,84000006,USA,83666.03671,,1/1/2021,,
Colorado,US,1/2/2021 5:30,39.0598,-105.3111,362438,5435,18102,314186,8,5854.774381,4444206,,1.445303579,84000008,USA,77173.28942,,1/1/2021,,
Connecticut,US,1/2/2021 5:30,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781229,4320693,,3.228186185,84000009,USA,121187.8034,,1/1/2021,,
Delaware,US,1/2/2021 5:30,39.3185,-75.5071,58064,1065,18851,38148,10,5962.841099,1021582,,1.834182971,84000010,USA,1.05E-05,,1/1/2021,,
Diamond Princess,US,1/2/2021 5:30,,,49,0,,,88888,,,,0,84088888,USA,,,1/1/2021,,
District of Columbia,US,1/2/2021 5:30,38.8974,-77.0268,29252,788,20941,7523,11,4144.816358,904302,,2.6938329,84000011,USA,128133.6566,,1/1/2021,,
Florida,US,1/2/2021 5:30,27.7663,-81.6868,1323315,21673,,,12,6161.333478,17392558,,1.637780876,84000012,USA,80979.47191,,1/1/2021,,
Georgia,US,1/2/2021 5:30,33.0406,-83.6431,677589,10958,,,13,6381.859327,5401054,,1.61720453,84000013,USA,50869.72611,,1/1/2021,,
Grand Princess,US,1/2/2021 5:30,,,103,3,,,99999,,,,2.912621359,84099999,USA,,,1/1/2021,,
Guam,US,1/2/2021 5:30,13.4443,144.7937,7326,122,7047,157,66,4460.844309,96201,,1.665301665,316,GUM,58577.35236,,1/1/2021,,
Hawaii,US,1/2/2021 5:30,21.0943,-157.4983,22397,289,11958,10150,15,1581.852032,816811,,1.290351386,84000015,USA,57689.60754,,1/1/2021,,
Idaho,US,1/2/2021 5:30,44.2405,-114.4788,141077,1436,58649,80992,16,7894.340721,545485,,1.017883851,84000016,USA,30524.07159,,1/1/2021,,
Illinois,US,1/2/2021 5:30,40.3495,-88.9861,963389,17978,,,17,7602.60897,13374665,,1.866120539,84000017,USA,105546.5114,,1/1/2021,,
Indiana,US,1/2/2021 5:30,39.8494,-86.2583,517773,9468,345474,162831,18,7690.970837,5730043,,1.828600564,84000018,USA,8.51E-06,,1/1/2021,,
Iowa,US,1/2/2021 5:30,42.0115,-93.2105,282980,3898,241229,37853,19,8969.056154,1174406,,1.377482508,84000019,USA,37222.81915,,1/1/2021,,
