Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,5/10/2022 4:31,32.3182,-86.9023,1302945,19601,,,1,26573.44155,7621478,,1.504361274,84000001,USA,155439.3318,,5/9/2022,,
Alaska,US,5/10/2022 4:31,61.3707,-152.4044,254466,1253,,,2,34784.73641,,,0.4924037,84000002,USA,,,5/9/2022,,
American Samoa,US,5/10/2022 4:31,-14.271,-170.132,5955,29,,,60,10702.53949,,,0.486985726,16,ASM,,,5/9/2022,,
Arizona,US,5/10/2022 4:31,33.7298,-111.4312,2025435,30189,,,4,27826.81343,19289892,,1.490494634,84000004,USA,265017.7497,,5/9/2022,,
Arkansas,US,5/10/2022 4:31,34.9697,-92.3731,837216,11409,,,5,27742.55717,5126657,,1.362730765,84000005,USA,169880.3832,,5/9/2022,,
California,US,5/10/2022 4:31,36.1162,-119.6816,9313762,90503,,,6,23525.14309,,,0.97364186,84000006,USA,,,5/9/2022,,
Colorado,US,5/10/2022 4:31,39.0598,-105.3111,1449711,12569,,,8,24187.37376,17497842,,0.896626934,84000008,USA,303848.6571,,5/9/2022,,
Connecticut,US,5/10/2022 4:31,41.5978,-72.7554,770762,10875,,,9,21618.51206,14049691,,1.41094138,84000009,USA,394069.0048,,5/9/2022,,
Delaware,US,5/10/2022 4:31,39.3185,-75.5071,265472,2928,,,10,27262.45784,3307831,,1.102941176,84000010,USA,3.40E-05,,5/9/2022,,
Diamond Princess,US,5/10/2022 4:31,,,49,0,,,88888,,,,0,84088888,USA,,,5/9/2022,,
District of Columbia,US,5/10/2022 4:31,38.8974,-77.0268,141943,1340,,,11,20112.39123,,,0.944040918,84000011,USA,,,5/9/2022,,
Florida,US,5/10/2022 4:31,27.7663,-81.6868,6002153,74108,,,12,27945.92838,57284048,,1.234690285,84000012,USA,266713.6114,,5/9/2022,,
Georgia,US,5/10/2022 4:31,33.0406,-83.6431,2521664,37969,,,13,23750.24523,17954625,,1.505712101,84000013,USA,169105.2998,,5/9/2022,,
Grand Princess,US,5/10/2022 4:31,,,103,3,,,99999,,,,2.912621359,84099999,USA,,,5/9/2022,,
Guam,US,5/10/2022 4:31,13.4443,144.7937,48369,357,,,66,29452.1674,392179,,0.73807604,316,GUM,238800.0901,,5/9/2022,,
Hawaii,US,5/10/2022 4:31,21.0943,-157.4983,252654,1428,,,15,17844.40966,3848436,,0.565199839,84000015,USA,271806.7735,,5/9/2022,,
Idaho,US,5/10/2022 4:31,44.2405,-114.4788,447159,4930,,,16,25021.97738,1222382,,1.102516107,84000016,USA,68401.65299,,5/9/2022,,
Illinois,US,5/10/2022 4:31,40.3495,-88.9861,3183746,37965,,,17,25124.58154,,,1.133948668,84000017,USA,,,5/9/2022,,
Indiana,US,5/10/2022 4:31,39.8494,-86.2583,1709350,23619,,,18,25390.58816,19725810,,1.381753298,84000018,USA,2.93E-05,,5/9/2022,,
Iowa,US,5/10/2022 4:31,42.0115,-93.2105,766593,9533,,,19,24297.17883,,,1.243554272,84000019,USA,,,5/9/2022,,
Kansas,US,5/10/2022 4:31,38.5266,-96.7265,778734,8691,,,20,26730.17739,,,1.116042192,84000020,USA,,,5/9/2022,,
Kentucky,US,5/10/2022 4:31,37.6681,-84.6701,1333077,15734,,,21,29838.28494,,,1.180276908,84000021,USA,,,5/9/2022,,
Louisiana,US,5/10/2022 4:31,31.1695,-91.8678,1241504,17285,,,22,25303.14314,13507098,,1.469449311,84000022,USA,290550.5815,,5/9/2022,,
Maine,US,5/10/2022 4:31,44.6939,-69.3819,251134,2325,,,23,18682.61852,4197185,,0.925800569,84000023,USA,312241.2982,,5/9/2022,,
Maryland,US,5/10/2022 4:31,39.0639,-76.8021,1041621,14495,,,24,17229.17852,20347521,,1.391581007,84000024,USA,336562.9838,,5/9/2022,,
Massachusetts,US,5/10/2022 4:31,42.2302,-71.5301,1789116,20335,,,25,25957.42069,43962101,,1.136594832,84000025,USA,637824.9092,,5/9/2022,,
Michigan,US,5/10/2022 4:31,43.3266,-84.5361,2444891,36064,,,26,24481.08549,24118871,,1.475075985,84000026,USA,2.42E-05,,5/9/2022,,
Minnesota,US,5/10/2022 4:31,45.6945,-93.9002,1466615,12809,,,27,26005.50887,,,0.873371676,84000027,USA,,,5/9/2022,,
Mississippi,US,5/10/2022 4:31,32.7416,-89.6787,799608,12454,,,28,26867.20322,,,1.557513181,84000028,USA,,,5/9/2022,,
Missouri,US,5/10/2022 4:31,38.4561,-92.2884,1437140,20554,,,29,23199.86483,,,1.420630322,84000029,USA,,,5/9/2022,,
Montana,US,5/10/2022 4:31,46.9219,-110.4544,274598,3378,,,30,25692.707,2850004,,1.230161909,84000030,USA,266660.0548,,5/9/2022,,
Nebraska,US,5/10/2022 4:31,41.1254,-98.2681,480805,4216,,,31,24855.40796,5481264,,0.876862761,84000031,USA,283356.1482,,5/9/2022,,
Nevada,US,5/10/2022 4:31,38.3135,-117.0554,714715,10780,,,32,23203.85721,,,1.508293516,84000032,USA,,,5/9/2022,,
New Hampshire,US,5/10/2022 4:31,43.4525,-71.5639,314533,2488,,,33,23132.34209,3763981,,0.791013979,84000033,USA,276822.1335,,5/9/2022,,
New Jersey,US,5/10/2022 4:31,40.2989,-74.521,2291089,33495,,,34,25794.1904,17978900,,1.461968522,84000034,USA,202415.1701,,5/9/2022,,
New Mexico,US,5/10/2022 4:31,34.8405,-106.2485,524644,7568,,,35,25020.82907,7044204,,1.442501963,84000035,USA,335945.5635,,5/9/2022,,
